Date,Rain,Depth,South,North,West,East,Temperature-Max,Temperature-Min,Other-Observations
2018-12-16,NA,NA,NA,NA,NA,NA,NA,44,31,Original Measurements
2018-12-17,0,3.2,47,17,55,50,41,34,NA
2018-12-18,0,3,42,80,54,56,37,22,NA
2018-12-19,0,5,46,80,25,50,41,19,NA
2018-12-20,0,4,47,20,25,51,50,21,NA
2018-12-21,NA,NA,NA,NA,NA,NA,67,40,NA
2018-12-22,0,4.8,49,123,19,65,59,35,NA
2018-12-23,NA,NA,NA,NA,NA,NA,41,26,Away for Christmas
2018-12-24,NA,NA,NA,NA,NA,NA,37,26,Away for Christmas
2018-12-25,NA,NA,NA,NA,NA,NA,38,21,Away for Christmas
2018-12-26,NA,NA,NA,NA,NA,NA,40,17,Away for Christmas
2018-12-27,NA,NA,NA,NA,NA,NA,37,26,Away for Christmas
2018-12-28,NA,NA,NA,NA,NA,NA,42,31,Away for Christmas
2018-12-29,0,5.3,50,117,60,65,50,29,NA
2018-12-30,0,4.9,46,77,30,66,36,23,NA
2018-12-31,0,4.7,45,73,22,66,44,25,NA
2019-1-1,0,5.6,46,139,66,66,57,30,NA
2019-1-2,2019-1-1,0,5.8,49,133,59,66,36,25,NA
2019-1-3,0.02,5.1,49,132,66,67,46,30,NA
2019-1-4,NA,NA,NA,NA,NA,NA,47,32,NA
2019-1-5,0.05,6.1,58,172,74,67,41,31,Small Sleet
2019-1-6,NA,NA,NA,NA,NA,NA,46,23,NA
2019-1-7,0.075,7.2,53,152,77,67,30,17,"Snow, Pond frozen"
2019-1-8,0,4.7,52,91,63,66,35,26,Pond frozen
2019-1-9,0.3,5.3,68,142,67,66,44,33,Rain
2019-1-10,0,4.8,66,27,69,66,35,23,NA
2019-1-11,0,5.5,46,22,91,66,28,14,"Pond has algae, Frozen"
2019-1-12,0,6.4,62,27,87,66,27,12,Pond completely frozen
2019-1-13,0,8.1,66,27,85,68,29,13,Completely frozen
2019-1-14,0,6.4,69,20,88,66,33,14,Completely frozen
2019-1-15,0,7,59,27,88,66,38,10,Completely frozen
2019-1-16,0,4.7,63,27,89,67,38,14,Completely frozen
2019-1-17,NA,NA,NA,NA,NA,NA,31,14,NA
2019-1-18,0,4.6,62,27,91,66,41,17,Completely frozen
2019-1-19,0,5.7,64,28,90,68,32,20,Completely frozen
2019-1-20,6.5 (snow),NA,NA,NA,NA,NA,31,6,"Pond frozen with snow on top of ice, unable to measure"
2019-1-21,NA,NA,NA,NA,NA,NA,6,1,"Snow on top of ice, unable to measure"
2019-1-22,NA,NA,NA,NA,NA,NA,27,4,"Snow on top of ice, unable to measure"
2019-1-23,NA,NA,NA,NA,NA,NA,50,10,"Snow on top of ice, unable to measure"
2019-1-24,NA,NA,NA,NA,NA,NA,58,35,"Snow on top of ice, unable to measure"
2019-1-25,0.75,11.8,104,32,147,88,40,25,"Slush, ice, and snow in/on top of water, RAIN"
2019-1-26,0.3,9.2,133,27,179,76,34,16,"Frozen, Slush & water"
2019-1-27,0,8.8,117,27,132,82,46,15,"Frozen, Algae"
2019-1-28,0,8.8,124,27,115,83,39,19,"Frozen, Slush, Algae"
2019-1-29,0,8.7,132,27,119,81,35,18,"Frozen, Algae"
2019-1-30,0.01 (snow),7,131,25,129,82,30,5,"More frozen, Algae"
2019-1-31,0.5 (snow),NA,NA,NA,NA,NA,14,0,"Too much snow, unable to measure"
